2023-12-05 22:56:57,248 - INFO - === Script execution START (ESG3 Classification) at: 2023-12-05 22:56:57.248465 ===
2023-12-05 22:57:04,387 - INFO - ESG3 classification completed for document 656e45db2f568a5a60d879f7. Label: Social, Score: 0.9566489458084106
2023-12-05 22:57:05,046 - INFO - ESG3 classification completed for document 656e45db2f568a5a60d879f8. Label: Not ESG Related, Score: 0.6939238905906677
2023-12-05 22:57:05,595 - INFO - ESG3 classification completed for document 656e45db2f568a5a60d879f9. Label: Social, Score: 0.8664909601211548
2023-12-05 22:57:05,959 - INFO - ESG3 classification completed for document 656e45f82f568a5a60d879fe. Label: Social, Score: 0.9693962931632996
2023-12-05 22:57:06,425 - INFO - ESG3 classification completed for document 656e45f82f568a5a60d879ff. Label: Social, Score: 0.9865775108337402
2023-12-05 22:57:07,081 - INFO - ESG3 classification completed for document 656e45f92f568a5a60d87a00. Label: Social, Score: 0.9831183552742004
2023-12-05 22:57:08,047 - INFO - ESG3 classification completed for document 656e46122f568a5a60d87a05. Label: Social, Score: 0.6178742051124573
2023-12-05 22:57:08,891 - INFO - ESG3 classification completed for document 656e46122f568a5a60d87a06. Label: Social, Score: 0.6436440944671631
2023-12-05 22:57:09,643 - INFO - ESG3 classification completed for document 656e46132f568a5a60d87a07. Label: Social, Score: 0.5637833476066589
2023-12-05 22:57:10,246 - INFO - ESG3 classification completed for document 656e46282f568a5a60d87a0c. Label: Not ESG Related, Score: 0.6494390368461609
2023-12-05 22:57:10,803 - INFO - ESG3 classification completed for document 656e46282f568a5a60d87a0d. Label: Not ESG Related, Score: 0.5741932392120361
2023-12-05 22:57:11,270 - INFO - ESG3 classification completed for document 656e463f2f568a5a60d87a12. Label: Environmental, Score: 0.9139800667762756
2023-12-05 22:57:11,624 - INFO - ESG3 classification completed for document 656e463f2f568a5a60d87a13. Label: Social, Score: 0.45193833112716675
2023-12-05 22:57:12,238 - INFO - ESG3 classification completed for document 656e464f2f568a5a60d87a18. Label: Not ESG Related, Score: 0.648102343082428
2023-12-05 22:57:12,472 - INFO - ESG3 classification completed for document 656e46642f568a5a60d87a1d. Label: Not ESG Related, Score: 0.9185225963592529
2023-12-05 22:57:12,727 - INFO - ESG3 classification completed for document 656e46642f568a5a60d87a1e. Label: Social, Score: 0.6562952399253845
2023-12-05 22:57:13,400 - INFO - ESG3 classification completed for document 656e46652f568a5a60d87a1f. Label: Social, Score: 0.6759273409843445
