2023-12-03 20:53:34,182 - INFO - === Script execution START (ESG9 Classification) at: 2023-12-03 20:53:34.182247 ===
2023-12-03 20:53:42,632 - INFO - FinBERT-ESG classification completed for document 656b0f1656b3a036308cce22. Label: Business Ethics & Values, Score: 0.7878817915916443
2023-12-03 20:53:43,298 - INFO - FinBERT-ESG classification completed for document 656b0f1756b3a036308cce23. Label: Business Ethics & Values, Score: 0.6233101487159729
2023-12-03 20:53:43,925 - INFO - FinBERT-ESG classification completed for document 656b0f1756b3a036308cce24. Label: Human Capital, Score: 0.8650907874107361
2023-12-03 20:53:44,747 - INFO - FinBERT-ESG classification completed for document 656b0f1856b3a036308cce25. Label: Community Relations, Score: 0.43928539752960205
2023-12-03 20:53:45,355 - INFO - FinBERT-ESG classification completed for document 656b0f1856b3a036308cce26. Label: Community Relations, Score: 0.39870452880859375
2023-12-03 20:53:45,974 - INFO - FinBERT-ESG classification completed for document 656b0f1856b3a036308cce27. Label: Community Relations, Score: 0.9446324110031128
2023-12-03 20:53:46,683 - INFO - FinBERT-ESG classification completed for document 656b0f1956b3a036308cce28. Label: Community Relations, Score: 0.9092589020729065
2023-12-03 20:53:47,503 - INFO - FinBERT-ESG classification completed for document 656b0f1956b3a036308cce29. Label: Business Ethics & Values, Score: 0.9438543915748596
2023-12-03 20:53:48,226 - INFO - FinBERT-ESG classification completed for document 656b0f1956b3a036308cce2a. Label: Product Liability, Score: 0.32925179600715637
2023-12-03 20:53:48,734 - INFO - FinBERT-ESG classification completed for document 656b0f1a56b3a036308cce2b. Label: Pollution & Waste, Score: 0.8215964436531067
2023-12-03 20:53:49,442 - INFO - FinBERT-ESG classification completed for document 656b0f5756b3a036308cce37. Label: Product Liability, Score: 0.32736828923225403
2023-12-03 20:53:50,125 - INFO - FinBERT-ESG classification completed for document 656b0f5756b3a036308cce38. Label: Business Ethics & Values, Score: 0.6197620034217834
2023-12-03 20:53:50,812 - INFO - FinBERT-ESG classification completed for document 656b0f5856b3a036308cce39. Label: Business Ethics & Values, Score: 0.836952269077301
2023-12-03 20:53:51,601 - INFO - FinBERT-ESG classification completed for document 656b0f5856b3a036308cce3a. Label: Human Capital, Score: 0.6978745460510254
2023-12-03 20:53:52,257 - INFO - FinBERT-ESG classification completed for document 656b0f5856b3a036308cce3b. Label: Community Relations, Score: 0.551645040512085
2023-12-03 20:53:52,907 - INFO - FinBERT-ESG classification completed for document 656b0f5856b3a036308cce3c. Label: Climate Change, Score: 0.8603503704071045
2023-12-03 20:53:53,650 - INFO - FinBERT-ESG classification completed for document 656b0f5956b3a036308cce3d. Label: Community Relations, Score: 0.5571678876876831
2023-12-03 20:53:54,388 - INFO - FinBERT-ESG classification completed for document 656b0f5956b3a036308cce3e. Label: Business Ethics & Values, Score: 0.6798326969146729
2023-12-03 20:53:55,074 - INFO - FinBERT-ESG classification completed for document 656b0fa056b3a036308cce4a. Label: Business Ethics & Values, Score: 0.5030397176742554
2023-12-03 20:53:55,770 - INFO - FinBERT-ESG classification completed for document 656b0fa056b3a036308cce4b. Label: Business Ethics & Values, Score: 0.916301965713501
2023-12-03 20:53:56,572 - INFO - FinBERT-ESG classification completed for document 656b0fa056b3a036308cce4c. Label: Corporate Governance, Score: 0.8394491076469421
2023-12-03 20:53:57,330 - INFO - FinBERT-ESG classification completed for document 656b0fa056b3a036308cce4d. Label: Business Ethics & Values, Score: 0.9410164952278137
2023-12-03 20:53:57,949 - INFO - FinBERT-ESG classification completed for document 656b0fa156b3a036308cce4e. Label: Business Ethics & Values, Score: 0.9774056077003479
2023-12-03 20:53:58,714 - INFO - FinBERT-ESG classification completed for document 656b0fa156b3a036308cce4f. Label: Business Ethics & Values, Score: 0.6447433233261108
2023-12-03 20:53:59,525 - INFO - FinBERT-ESG classification completed for document 656b0fa156b3a036308cce50. Label: Business Ethics & Values, Score: 0.9088385701179504
2023-12-03 20:54:00,204 - INFO - FinBERT-ESG classification completed for document 656b0fa156b3a036308cce51. Label: Corporate Governance, Score: 0.4505174458026886
2023-12-03 20:54:00,951 - INFO - FinBERT-ESG classification completed for document 656b0fa256b3a036308cce52. Label: Business Ethics & Values, Score: 0.48758238554000854
2023-12-03 20:54:01,554 - INFO - FinBERT-ESG classification completed for document 656b0fe756b3a036308cce5e. Label: Community Relations, Score: 0.8878623843193054
2023-12-03 20:54:02,555 - INFO - FinBERT-ESG classification completed for document 656b0fe756b3a036308cce5f. Label: Corporate Governance, Score: 0.5645592212677002
2023-12-03 20:54:03,082 - INFO - FinBERT-ESG classification completed for document 656b0fe756b3a036308cce60. Label: Climate Change, Score: 0.9950429201126099
2023-12-03 20:54:03,752 - INFO - FinBERT-ESG classification completed for document 656b0fe756b3a036308cce61. Label: Business Ethics & Values, Score: 0.7288745045661926
2023-12-03 20:54:04,292 - INFO - FinBERT-ESG classification completed for document 656b0fe856b3a036308cce62. Label: Product Liability, Score: 0.7509296536445618
