2023-12-03 20:25:40,698 - INFO - === Script execution START (FLS Classification) at: 2023-12-03 20:25:40.698066 ===
2023-12-03 20:25:47,328 - INFO - FinBERT-FLS classification completed for document 656b0f1656b3a036308cce22. Label: Not FLS, Score: 0.9796556234359741
2023-12-03 20:25:48,103 - INFO - FinBERT-FLS classification completed for document 656b0f1756b3a036308cce23. Label: Not FLS, Score: 0.9429235458374023
2023-12-03 20:25:48,962 - INFO - FinBERT-FLS classification completed for document 656b0f1756b3a036308cce24. Label: Not FLS, Score: 0.983249843120575
2023-12-03 20:25:49,717 - INFO - FinBERT-FLS classification completed for document 656b0f1856b3a036308cce25. Label: Not FLS, Score: 0.9783742427825928
2023-12-03 20:25:50,317 - INFO - FinBERT-FLS classification completed for document 656b0f1856b3a036308cce26. Label: Not FLS, Score: 0.9605438113212585
2023-12-03 20:25:50,944 - INFO - FinBERT-FLS classification completed for document 656b0f1856b3a036308cce27. Label: Not FLS, Score: 0.9599928855895996
2023-12-03 20:25:51,546 - INFO - FinBERT-FLS classification completed for document 656b0f1956b3a036308cce28. Label: Not FLS, Score: 0.9710203409194946
2023-12-03 20:25:52,391 - INFO - FinBERT-FLS classification completed for document 656b0f1956b3a036308cce29. Label: Not FLS, Score: 0.9731010794639587
2023-12-03 20:25:53,163 - INFO - FinBERT-FLS classification completed for document 656b0f1956b3a036308cce2a. Label: Not FLS, Score: 0.9777231812477112
2023-12-03 20:25:53,834 - INFO - FinBERT-FLS classification completed for document 656b0f1a56b3a036308cce2b. Label: Not FLS, Score: 0.9644924998283386
2023-12-03 20:25:54,327 - INFO - FinBERT-FLS classification completed for document 656b0f5756b3a036308cce37. Label: Not FLS, Score: 0.9051454067230225
2023-12-03 20:25:55,009 - INFO - FinBERT-FLS classification completed for document 656b0f5756b3a036308cce38. Label: Specific FLS, Score: 0.8825676441192627
2023-12-03 20:25:55,796 - INFO - FinBERT-FLS classification completed for document 656b0f5856b3a036308cce39. Label: Not FLS, Score: 0.980743944644928
2023-12-03 20:25:56,551 - INFO - FinBERT-FLS classification completed for document 656b0f5856b3a036308cce3a. Label: Not FLS, Score: 0.9346402883529663
2023-12-03 20:25:57,135 - INFO - FinBERT-FLS classification completed for document 656b0f5856b3a036308cce3b. Label: Not FLS, Score: 0.9587581157684326
2023-12-03 20:25:57,846 - INFO - FinBERT-FLS classification completed for document 656b0f5856b3a036308cce3c. Label: Specific FLS, Score: 0.9039974212646484
2023-12-03 20:25:58,520 - INFO - FinBERT-FLS classification completed for document 656b0f5956b3a036308cce3d. Label: Not FLS, Score: 0.985438346862793
2023-12-03 20:25:59,223 - INFO - FinBERT-FLS classification completed for document 656b0f5956b3a036308cce3e. Label: Not FLS, Score: 0.7219331860542297
2023-12-03 20:25:59,971 - INFO - FinBERT-FLS classification completed for document 656b0fa056b3a036308cce4a. Label: Not FLS, Score: 0.9780569672584534
2023-12-03 20:26:00,798 - INFO - FinBERT-FLS classification completed for document 656b0fa056b3a036308cce4b. Label: Not FLS, Score: 0.7612755298614502
2023-12-03 20:26:01,457 - INFO - FinBERT-FLS classification completed for document 656b0fa056b3a036308cce4c. Label: Not FLS, Score: 0.9752971529960632
2023-12-03 20:26:02,090 - INFO - FinBERT-FLS classification completed for document 656b0fa056b3a036308cce4d. Label: Not FLS, Score: 0.9833654761314392
2023-12-03 20:26:02,860 - INFO - FinBERT-FLS classification completed for document 656b0fa156b3a036308cce4e. Label: Not FLS, Score: 0.9805861711502075
2023-12-03 20:26:03,684 - INFO - FinBERT-FLS classification completed for document 656b0fa156b3a036308cce4f. Label: Not FLS, Score: 0.9764902591705322
2023-12-03 20:26:04,271 - INFO - FinBERT-FLS classification completed for document 656b0fa156b3a036308cce50. Label: Not FLS, Score: 0.9599622488021851
2023-12-03 20:26:04,993 - INFO - FinBERT-FLS classification completed for document 656b0fa156b3a036308cce51. Label: Not FLS, Score: 0.9721108675003052
2023-12-03 20:26:05,488 - INFO - FinBERT-FLS classification completed for document 656b0fa256b3a036308cce52. Label: Not FLS, Score: 0.9751355051994324
2023-12-03 20:26:06,118 - INFO - FinBERT-FLS classification completed for document 656b0fe756b3a036308cce5e. Label: Not FLS, Score: 0.9813263416290283
